"","country","iso3","g.whoregion","row.rank","year","drs.record.type","all.areas.covered","area.desc","surv.quality","mdr.new","mdr.ret","mdr.unk","xpert.dr.r.new","xpert.dr.r.ret","rr.new","rr.ret","mdr.dst.rlt","mdr.ds.fq2li","mdr.dr.fq","mdr.dr.2li","xdr","rr.dst.rlt","rr.ds.fq2li","rr.dr.fq","rr.dr.2li","rr.dr.fq.2li","rr.dst.rlt.fq","rr.fqr","rr.fqr.pcnt","rr.fqr.pcnt.lo","rr.fqr.pcnt.hi","rs.hr.dst.rlt.fq","rs.hr.fqr.pcnt","rs.hr.fqr.pcnt.lo","rs.hr.fqr.pcnt.hi"
"1","Aruba","ABW","AMR",1,2021,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"2","Albania","ALB","EUR",1,2010,"Surveillance",1,NA,"A",1,1,0,NA,NA,NA,NA,2,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Andorra","AND","EUR",1,2017,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Andorra","AND","EUR",2,2016,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Andorra","AND","EUR",3,2015,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Andorra","AND","EUR",4,2014,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Andorra","AND","EUR",5,2013,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Andorra","AND","EUR",6,2011,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Andorra","AND","EUR",7,2010,"Surveillance",1,NA,"A",0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Andorra","AND","EUR",8,2009,"Surveillance",1,NA,"A",0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","United Arab Emirates","ARE","EMR",1,2020,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"12","Armenia","ARM","EUR",1,2022,"Surveillance",1,NA,"A",33,19,NA,NA,NA,36,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,8,NA,NA,NA,NA,NA,NA,NA
"13","Armenia","ARM","EUR",2,2021,"Surveillance",1,NA,"A",42,18,NA,NA,NA,44,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,17,NA,NA,NA,NA,NA,NA,NA
"14","Armenia","ARM","EUR",3,2020,"Surveillance",1,NA,"A",26,23,NA,NA,NA,28,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,11,NA,NA,NA,NA,NA,NA,NA
"15","Armenia","ARM","EUR",4,2019,"Surveillance",1,NA,"A",33,23,NA,NA,NA,38,27,22,NA,NA,NA,12,NA,NA,NA,NA,NA,63,19,NA,NA,NA,NA,NA,NA,NA
"16","Armenia","ARM","EUR",5,2018,"Surveillance",1,NA,"N",43,33,NA,NA,NA,51,34,76,NA,NA,NA,14,85,38,18,43,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Armenia","ARM","EUR",6,2017,"Surveillance",1,NA,"A",40,41,NA,NA,NA,51,48,81,NA,NA,NA,13,98,58,20,33,13,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","American Samoa","ASM","WPR",1,2020,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"19","American Samoa","ASM","WPR",2,2019,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"20","Australia","AUS","WPR",1,2022,"Surveillance",1,NA,"N",13,1,NA,NA,NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,4,NA,NA,NA,NA,NA,NA,NA
"21","Australia","AUS","WPR",2,2021,"Surveillance",1,NA,"N",7,3,NA,NA,NA,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA
"22","Australia","AUS","WPR",3,2020,"Surveillance",1,NA,"N",10,3,NA,NA,NA,14,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,8,NA,NA,NA,NA,NA,NA,NA
"23","Australia","AUS","WPR",4,2019,"Surveillance",1,NA,"A",15,3,NA,NA,NA,17,3,6,NA,NA,NA,1,NA,NA,NA,NA,NA,19,3,NA,NA,NA,NA,NA,NA,NA
"24","Australia","AUS","WPR",5,2018,"Surveillance",1,NA,"A",21,4,NA,NA,NA,24,4,22,NA,NA,NA,1,23,18,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Australia","AUS","WPR",6,2017,"Surveillance",1,NA,"A",12,6,NA,NA,NA,13,6,16,NA,NA,NA,0,17,15,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Australia","AUS","WPR",7,2015,"Surveillance",1,NA,"A",15,6,NA,0,0,NA,NA,20,17,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Australia","AUS","WPR",8,2014,"Surveillance",1,NA,"A",11,4,0,NA,NA,NA,NA,15,13,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Australia","AUS","WPR",9,2013,"Surveillance",1,NA,"A",13,1,0,0,0,NA,NA,12,9,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Australia","AUS","WPR",10,2012,"Surveillance",1,NA,"A",16,2,0,0,0,NA,NA,18,15,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Australia","AUS","WPR",11,2011,"Surveillance",1,NA,"A",14,7,2,0,0,NA,NA,22,20,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Australia","AUS","WPR",12,2010,"Surveillance",1,NA,"A",21,11,1,NA,NA,NA,NA,32,31,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Australia","AUS","WPR",13,2009,"Surveillance",1,NA,"A",NA,NA,31,NA,NA,NA,NA,31,29,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Australia","AUS","WPR",14,2008,"Surveillance",1,NA,"A",NA,NA,21,NA,NA,NA,NA,21,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Austria","AUT","EUR",1,2015,"Surveillance",1,NA,"A",5,2,NA,NA,NA,NA,NA,8,3,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Austria","AUT","EUR",2,2014,"Surveillance",1,NA,"A",7,7,4,NA,NA,NA,NA,18,14,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Austria","AUT","EUR",3,2013,"Surveillance",1,NA,"A",7,9,0,NA,NA,NA,NA,16,8,7,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Austria","AUT","EUR",4,2012,"Surveillance",1,NA,"A",9,9,9,NA,NA,NA,NA,27,10,14,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Austria","AUT","EUR",5,2011,"Surveillance",1,NA,"A",9,2,9,NA,NA,NA,NA,20,9,8,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Austria","AUT","EUR",6,2010,"Surveillance",1,NA,"A",5,3,8,NA,NA,NA,NA,16,8,3,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Austria","AUT","EUR",7,2009,"Surveillance",1,NA,"A",5,8,10,NA,NA,NA,NA,21,13,3,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Austria","AUT","EUR",8,2008,"Surveillance",1,NA,"A",11,4,0,NA,NA,NA,NA,15,7,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Azerbaijan","AZE","EUR",1,2022,"Surveillance",1,NA,"A",110,248,NA,NA,NA,199,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,628,97,NA,NA,NA,NA,NA,NA,NA
"43","Azerbaijan","AZE","EUR",2,2021,"Surveillance",1,NA,"A",113,276,NA,NA,NA,172,487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,114,NA,NA,NA,NA,NA,NA,NA
"44","Azerbaijan","AZE","EUR",3,2020,"Surveillance",1,NA,"A",122,NA,NA,NA,NA,149,552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,576,87,NA,NA,NA,NA,NA,NA,NA
"45","Azerbaijan","AZE","EUR",4,2019,"Surveillance",1,NA,"A",111,303,NA,NA,NA,219,533,367,NA,NA,NA,89,NA,NA,NA,NA,NA,704,153,NA,NA,NA,NA,NA,NA,NA
"46","Azerbaijan","AZE","EUR",5,2018,"Surveillance",1,NA,"A",160,478,NA,NA,NA,237,701,NA,NA,NA,NA,NA,864,627,148,166,77,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Azerbaijan","AZE","EUR",6,2017,"Surveillance",1,NA,"A",170,495,NA,NA,NA,245,762,NA,NA,NA,NA,NA,812,446,208,276,118,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Azerbaijan","AZE","EUR",7,2013,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,139,79,36,40,38,143,86,31,48,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Belgium","BEL","EUR",1,2021,"Surveillance",1,NA,"N",3,2,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA
"50","Belgium","BEL","EUR",2,2019,"Surveillance",1,NA,"N",9,3,NA,NA,NA,9,4,11,NA,NA,NA,0,NA,NA,NA,NA,NA,11,2,NA,NA,NA,NA,NA,NA,NA
"51","Belgium","BEL","EUR",3,2018,"Surveillance",1,NA,"N",5,1,NA,NA,NA,5,1,6,NA,NA,NA,3,6,1,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Belgium","BEL","EUR",4,2015,"Surveillance",1,NA,"A",6,2,NA,NA,NA,NA,NA,11,5,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Belgium","BEL","EUR",5,2014,"Surveillance",1,NA,"A",6,1,2,NA,NA,NA,NA,9,7,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Belgium","BEL","EUR",6,2013,"Surveillance",1,NA,"A",7,1,2,NA,NA,NA,NA,10,6,4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Belgium","BEL","EUR",7,2012,"Surveillance",1,NA,"A",8,7,5,NA,NA,NA,NA,20,12,6,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Belgium","BEL","EUR",8,2011,"Surveillance",1,NA,"A",7,4,4,NA,NA,NA,NA,15,7,4,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Belgium","BEL","EUR",9,2010,"Surveillance",1,NA,"A",10,9,0,NA,NA,NA,NA,19,8,6,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Belgium","BEL","EUR",10,2009,"Surveillance",1,NA,"A",4,3,3,NA,NA,NA,NA,10,5,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Belgium","BEL","EUR",11,2008,"Surveillance",1,NA,"A",15,6,1,NA,NA,NA,NA,21,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Benin","BEN","AFR",1,2010,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,8,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Bangladesh","BGD","SEA",1,2019,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,0,28,22,6,0,0,28,NA,21.4,11.2,37.1,NA,NA,NA,NA
"62","Bangladesh","BGD","SEA",2,2011,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,44,74,14,0,0,46,41,6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Bulgaria","BGR","EUR",1,2018,"Surveillance",1,NA,"A",10,14,NA,NA,NA,12,16,24,NA,NA,NA,0,28,20,5,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Bulgaria","BGR","EUR",2,2016,"Surveillance",1,NA,"A",5,14,NA,NA,NA,NA,NA,19,NA,NA,NA,0,22,18,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Bulgaria","BGR","EUR",3,2012,"Surveillance",1,NA,"A",16,33,0,NA,NA,NA,NA,49,42,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Bahrain","BHR","EMR",1,2017,"Surveillance",1,NA,"A",1,NA,NA,NA,NA,1,NA,0,NA,NA,NA,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Bahrain","BHR","EMR",2,2016,"Surveillance",1,NA,"A",2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,0,2,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Bahrain","BHR","EMR",3,2010,"Surveillance",1,NA,"A",0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Bahamas","BHS","AMR",1,2019,"Surveillance",1,NA,"A",0,0,NA,NA,NA,1,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"70","Bahamas","BHS","AMR",2,2018,"Surveillance",1,NA,"N",0,0,NA,NA,NA,1,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Bahamas","BHS","AMR",3,2017,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Bahamas","BHS","AMR",4,2010,"Surveillance",1,NA,"A",0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Bosnia and Herzegovina","BIH","EUR",1,2016,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Bosnia and Herzegovina","BIH","EUR",2,2011,"Surveillance",1,NA,"A",1,4,0,0,0,NA,NA,5,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Belarus","BLR","EUR",1,2022,"Surveillance",1,NA,"A",498,142,NA,NA,NA,499,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,721,314,NA,NA,NA,NA,NA,NA,NA
"76","Belarus","BLR","EUR",2,2021,"Surveillance",1,NA,"A",341,354,NA,NA,NA,390,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,757,310,NA,NA,NA,NA,NA,NA,NA
"77","Belarus","BLR","EUR",3,2020,"Surveillance",1,NA,"A",364,423,NA,NA,NA,401,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,825,354,NA,NA,NA,NA,NA,NA,NA
"78","Belarus","BLR","EUR",4,2019,"Surveillance",1,NA,"A",503,305,NA,NA,NA,561,313,807,NA,NA,NA,185,NA,NA,NA,NA,NA,874,277,NA,NA,NA,NA,NA,NA,NA
"79","Belarus","BLR","EUR",5,2018,"Surveillance",1,NA,"A",559,425,NA,NA,NA,559,425,984,NA,NA,NA,185,984,476,272,421,185,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Belarus","BLR","EUR",6,2017,"Surveillance",1,NA,"A",629,459,NA,NA,NA,649,468,1088,NA,NA,NA,343,1117,413,464,583,343,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Belarus","BLR","EUR",7,2016,"Surveillance",1,NA,"A",654,568,NA,21,1,NA,NA,1246,NA,NA,NA,572,674,632,218,396,572,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Belarus","BLR","EUR",8,2015,"Surveillance",1,NA,"A",678,597,NA,22,14,NA,NA,1275,416,643,669,453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Belarus","BLR","EUR",9,2014,"Surveillance",1,NA,"A",667,584,0,11,11,NA,NA,1251,518,177,190,366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","Belarus","BLR","EUR",10,2013,"Surveillance",1,NA,"A",755,598,NA,NA,NA,NA,NA,1353,1185,92,156,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Belarus","BLR","EUR",11,2011,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,612,322,128,235,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Belize","BLZ","AMR",1,2019,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"87","Belize","BLZ","AMR",2,2018,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Bermuda","BMU","AMR",1,2021,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"89","Bermuda","BMU","AMR",2,2019,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"90","Bermuda","BMU","AMR",3,2018,"Surveillance",1,NA,"N",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Bermuda","BMU","AMR",4,2017,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Bermuda","BMU","AMR",5,2016,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Bermuda","BMU","AMR",6,2012,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Bermuda","BMU","AMR",7,2011,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Bermuda","BMU","AMR",8,2010,"Surveillance",1,NA,"A",0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Barbados","BRB","AMR",1,2020,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"97","Barbados","BRB","AMR",2,2014,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Brunei Darussalam","BRN","WPR",1,2021,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"99","Brunei Darussalam","BRN","WPR",2,2020,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"100","Brunei Darussalam","BRN","WPR",3,2019,"Surveillance",1,NA,"A",0,0,NA,NA,NA,1,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA
"101","Brunei Darussalam","BRN","WPR",4,2018,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Brunei Darussalam","BRN","WPR",5,2017,"Surveillance",1,NA,"A",0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Brunei Darussalam","BRN","WPR",6,2016,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Brunei Darussalam","BRN","WPR",7,2015,"Surveillance",1,NA,"A",0,0,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Brunei Darussalam","BRN","WPR",8,2011,"Surveillance",1,NA,"A",0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Bhutan","BTN","SEA",1,2021,"Surveillance",1,NA,"N",36,0,NA,NA,NA,44,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,3,NA,NA,NA,NA,NA,NA,NA
"107","Bhutan","BTN","SEA",2,2019,"Surveillance",1,NA,"A",60,5,NA,NA,NA,73,5,65,NA,NA,NA,1,NA,NA,NA,NA,NA,65,6,NA,NA,NA,NA,NA,NA,NA
"108","Bhutan","BTN","SEA",3,2018,"Surveillance",1,NA,"N",46,1,NA,NA,NA,42,2,47,NA,NA,NA,0,44,43,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Botswana","BWA","AFR",1,2008,"Survey",1,NA,"A",NA,NA,NA,NA,NA,NA,NA,24,21,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Canada","CAN","AMR",1,2021,"Surveillance",1,NA,"A",5,4,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,NA,NA,NA,NA,NA,NA,NA
"111","Canada","CAN","AMR",2,2015,"Surveillance",1,NA,"A",7,4,NA,NA,NA,NA,NA,11,8,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Canada","CAN","AMR",3,2014,"Surveillance",1,NA,"A",10,1,0,0,0,NA,NA,11,9,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Canada","CAN","AMR",4,2013,"Surveillance",1,NA,"A",12,3,0,0,0,NA,NA,15,12,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Canada","CAN","AMR",5,2012,"Surveillance",1,NA,"A",7,1,1,0,0,NA,NA,9,4,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Canada","CAN","AMR",6,2011,"Surveillance",1,NA,"A",NA,NA,19,NA,NA,NA,NA,19,16,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Canada","CAN","AMR",7,2010,"Surveillance",1,NA,"A",15,0,0,NA,NA,NA,NA,14,11,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Canada","CAN","AMR",8,2009,"Surveillance",1,NA,"A",13,2,3,NA,NA,NA,NA,18,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
